drug,LD,date,p53,chk2,atr,chk1,atx,dnapk,bok,bim
doxorubicin,90,3/15/2013,3.681034171,3.3584398,1.712007133,-0.407828666,-2.200774019,-1.740317556,-1.426111415,1.671926157
doxorubicin,90,6/27/2013,4.690127344,3.930851588,1.183972776,-1.018378529,-1.525553804,-1.765271984,-1.572787787,1.435386145
doxorubicin,90,3/3/2013,4.224450595,3.678594035,1.230906092,-0.979940664,-1.800540858,-1.27489188,-1.177344583,1.742415597
doxorubicin,90,5/14/2012,4.109771422,3.841268171,1.275105045,-0.927963605,-1.728185661,-1.5890963,-1.061163002,1.509000066
doxorubicin,90,5/12/2012,4.340825621,3.984570613,1.618130243,-0.762107989,-1.599900358,-1.149061135,-1.854610648,1.605860076
doxorubicin,90,8/14/2012,4.963176301,3.764411282,1.739761762,-0.467557663,-4.302330658,-1.566547316,-1.51801555,0.874469118
doxorubicin,89,1/24/2013,3.832004875,3.793526529,1.307830646,-0.711786829,-1.928284366,-1.231105961,-1.316550876,1.456457648
doxorubicin,89,3/16/2013,3.988883968,3.742383264,1.557683494,-0.994803082,-1.823833274,-1.624088168,-1.498831189,1.761751808
doxorubicin,89,4/29/2016,3.178228305,3.651331874,1.275729864,0.143794984,-1.427703911,,-1.133396975,1.077574907
doxorubicin,89,6/7/2014,3.568568714,3.517015292,1.512469844,-1.120681482,-1.281670128,-1.450613761,-1.232378978,1.170419735
doxorubicin,89,3/30/2013,4.121968269,3.896131397,1.564462049,-0.50989596,-1.263863236,-1.194503024,-0.45855584,1.467759448
doxorubicin,89,4/28/2016,3.11758283,3.750108563,1.505137346,0.237672529,-1.065606993,-0.207972231,-1.442594589,0.979403958
doxorubicin,89,4/8/2013,3.883038666,4.343237518,1.90172056,-0.35287348,-1.686951284,-1.588016229,-1.623310244,1.290891331
doxorubicin,89,6/3/2015,2.962962621,2.233681287,0.944782195,-0.550047755,-1.472408679,-1.01337704,-1.570074324,1.512811281
doxorubicin,89,2/14/2013,4.041963799,4.15264701,1.20174856,-0.66541845,-1.63140736,-1.399957844,-0.871904255,1.741180311
doxorubicin,89,5/24/2012,3.608393269,3.847582412,1.485536387,-0.606582543,-2.011682747,-0.985582637,-0.839267423,1.515483104
doxorubicin,89,12/7/2012,3.815225042,3.58320834,1.262120252,-0.726900524,-1.832507246,-1.580579071,-1.400751788,1.500001168
doxorubicin,89,3/12/2012,3.355742841,3.558988327,1.175213846,-0.513801472,-1.881924384,-0.839267423,-1.401371706,1.505160774
doxorubicin,88,3/2/2013,4.251348926,3.596248245,1.274136591,-0.955830584,-1.425371353,-1.376862894,-1.345672068,1.569583552
doxorubicin,88,10/31/2013,3.964896199,3.896831924,1.621956708,-0.742503778,-1.686048626,-2.011220407,-1.8248231,1.487358643
doxorubicin,88,11/13/2013,4.532495081,3.614709844,1.743999186,-0.566346823,-2.114450242,,-1.504071048,1.851083275
doxorubicin,88,7/17/2013,4.40546879,4.12792348,1.672425342,-0.350186355,-0.982622473,-1.567351485,-1.229303549,1.652076697
doxorubicin,88,10/27/2013,4.459431619,3.86507042,1.887661124,-0.883303775,-2.032780685,-1.91922335,-1.273077228,1.99158776
doxorubicin,88,10/13/2014,4.184789448,4.159858819,1.519835258,-0.555333572,-1.602129269,-1.468382213,-1.133983447,1.784055231
doxorubicin,88,7/14/2013,4.354710119,4.301686588,1.661725183,-0.544437601,-1.926582681,-1.359802847,-2.101902921,1.397381142
doxorubicin,88,2/4/2013,4.278576592,3.937364404,1.648971605,-0.547471496,-1.561434574,-1.807342168,-1.274683737,1.49215173
doxorubicin,88,4/23/2016,3.499750312,3.448077497,1.216074479,-0.314958504,-1.562181325,-0.521841305,-1.066076286,1.312159446
doxorubicin,88,3/29/2013,4.174940269,4.122438868,1.620762005,-0.570621122,-1.582867083,-0.682982363,-0.480366019,1.754088133
doxorubicin,88,5/30/2014,4.892786084,4.390990563,1.780986689,-0.73679699,-2.013666444,-1.671075864,-2.060917429,1.737634528
doxorubicin,88,8/31/2012,3.486054263,2.850065554,1.583864141,-0.603039452,-1.815568328,-1.207471153,-1.20308119,1.336527002
doxorubicin,88,3/29/2012,4.156487842,3.888419212,1.310675187,-0.297707449,-1.353094934,-1.113841908,-1.139067038,1.575739355
